item_no,price,rating,title
190477,59.95,4.0,Igloo ECOCOOL Cooler - 52 qts.
184761,111.29,3.7,REI Co-op Flash Carbon Trekking Poles - Pair
217992,98.83,4.6,REI Co-op Outward Hammock
164382,48.89,4.0,REI Co-op Flexlite Camp Chair
148117,6.83,4.3,REI Co-op Quickflow Pump Sack
205323,138.73,4.5,Zempire 2-Burner Deluxe &amp; Grill High-Pressure Camping Stove
160276,61.83,4.8,Rumpl Original Puffy Recycled Blanket
216314,55.89,4.4,REI Co-op Trailmade Trekking Poles - Pair
148209,63.69,4.4,MSR PocketRocket Deluxe Stove
136217,69.89,4.1,REI Co-op Camp Wrap
199934,89.83,4.0,NEMO Tensor Ultralight Sleeping Pad
186178,76.29,4.7,REI Co-op Pack-Away Bin
200660,86.93,3.9,Mountain Summit Gear Aluminum Folding Picnic Table
216525,350.00,3.7,The North Face One Bag Sleeping Bag
200319,169.99,4.2,Garmin Forerunner 55
193589,41.89,4.6,REI Co-op Flannel/Fleece Blanket
124865,14.89,4.6,MPOWERD Luci Color Essence Inflatable Solar Lantern
163037,159.83,4.6,NEMO Disco 15 Sleeping Bag - Women's
190475,139.95,3.7,Igloo ECOCOOL Roller Cooler - 90 qts.
220437,35.00,4.6,Stanley Quencher H2.0 FlowState Tumbler - 30 fl. oz.
201965,41.89,4.3,REI Co-op Flash 22 Pack
202774,49.95,4.2,Black Diamond Spot 400 Headlamp
217592,69.89,4.4,REI Co-op Trailmade 20 Sleeping Bag
168484,55.89,4.6,REI Co-op Trail 25 Pack - Men's
168486,55.89,4.6,REI Co-op Trail 25 Pack - Women's
211629,449.99,4.4,Garmin fenix 7 Multisport GPS Watch
211630,599.99,4.6,Garmin fenix 7 Sapphire Solar Multisport GPS Watch
207323,24.69,4.8,Owala FreeSip Vacuum Water Bottle - 32 fl. oz.
228405,599.99,4.6,Garmin fenix 7S Pro Solar Edition
216571,139.29,4.5,REI Co-op Flash 55 Pack - Men's
216799,249.99,4.0,Garmin inReach Messenger
216793,249.99,4.5,Garmin Forerunner 255S
211694,499.99,4.1,Garmin fenix 7S Solar Multisport GPS Watch
892837,139.29,4.3,REI Co-op Kingdom Cot 3
203906,59.89,3.8,Petzl Actik Core Headlamp
211693,599.99,4.4,Garmin fenix 7S Sapphire Solar Multisport GPS Watch
217591,167.29,4.2,REI Co-op Siesta Hooded 20 Double Sleeping Bag
227457,699.99,4.4,Garmin epix Pro (Gen 2) Standard Edition
202288,111.29,4.2,REI Co-op Helix Insulated Air Sleeping Pad
227243,349.99,4.6,Garmin Instinct 2X Solar
185633,265.29,4.0,REI Co-op Half Dome SL 3+ Tent with Footprint
211628,599.99,4.6,Garmin epix (Gen 2) Sapphire Multisport GPS Watch
216795,399.99,4.5,Garmin Forerunner 955
168719,83.29,4.5,REI Co-op Traverse Trekking Poles - Pair
216791,249.99,4.6,Garmin Forerunner 255
211691,499.99,4.4,Garmin fenix 7 Solar Multisport GPS Watch
228404,699.99,4.6,Garmin fenix 7S Pro Sapphire Solar Edition
144789,208.73,2.3,Mountainsmith Cottonwood 6-Person Tent
228402,699.99,4.8,Garmin fenix 7 Pro Sapphire Solar Edition
228406,799.99,4.7,Garmin fenix 7X Pro Sapphire Solar Edition
228403,599.99,5.0,Garmin fenix 7 Pro Solar Edition
227244,499.99,3.8,Garmin GPSMAP 67i
227458,799.99,4.7,Garmin epix Pro (Gen 2) Sapphire Edition
228562,23.93,4.9,Sea to Summit Tek Towel
151562,81.73,4.4,ALPS Mountaineering Baja 40 Pack
184978,37.73,0.0,ALPS Mountaineering Camp Creek Two-Room Floor Saver Footprint
618168,19.95,3.8,Reliance Aqua-Tainer - 7 gal.
148036,69.89,4.1,REI Co-op Flexlite Air Chair
220438,45.00,4.4,Stanley Quencher H2.0 FlowState Tumbler - 40 fl. oz.
202981,349.29,4.2,REI Co-op Wonderland 4 Tent
199935,99.83,3.7,NEMO Tensor Ultralight Insulated Sleeping Pad
216300,125.29,4.1,REI Co-op Trailmade 2 Tent with Footprint
208257,299.99,4.1,Garmin inReach Mini 2
176750,112.39,4.4,Ignik Gas Growler Deluxe
216298,111.29,4.7,REI Co-op Trailmade 1 Tent with Footprint
216299,244.29,4.2,REI Co-op Trailmade Backpacking Bundle
228407,699.99,4.6,Garmin fenix 7X Pro Solar Edition
203908,26.19,4.0,Petzl Tikka Headlamp
205175,439.89,4.9,Nikon Monarch M7 10 x 42 Binocular
205173,259.89,4.9,Nikon Monarch M5 10 x 42 Binoculars
188426,7.89,4.7,REI Co-op Nalgene Sustain Graphic Wide-Mouth Water Bottle - 32 fl. oz.
193018,48.89,4.2,REI Co-op Kindercamp 40 Sleeping Bag - Kids'
765280,55.89,4.5,REI Co-op Camp Roll Table
216297,195.29,4.0,REI Co-op Camp Dreamer Double Self-Inflating Deluxe Bed
170193,97.39,4.4,Petzl Swift RL Headlamp
211695,599.99,4.6,Garmin fenix 7X Solar Multisport GPS Watch
227453,28.49,4.9,Owala FreeSip Insulated Stainless-Steel Tumbler with Locking Push-Button Lid - 40 fl. oz.
203769,51.73,3.8,Exped Mira II HL Footprint
205566,201.73,0.0,Mountain Equipment Nova II Sleeping Bag - Women's
205572,121.73,0.0,Mountain Equipment Starlight I Sleeping Bag - Men's
152788,286.29,4.6,Sea to Summit Spark Ultralight 28F Sleeping Bag
205567,150.73,0.0,Mountain Equipment Nova II Sleeping Bag - Women's Long
205583,90.73,0.0,Mountain Equipment Lunar I Sleeping Bag - Women's Long
223008,199.73,0.0,Big Agnes Sidewinder SL 35 Sleeping Bag - Women's
229115,91.73,0.0,Dragon Kodiak Sunglasses
228991,18.73,5.0,Outdoor Research PackOut Graphic Stuff Sack - 20 L
229117,99.73,0.0,Dragon Monarch XL Sunglasses
229112,99.73,0.0,Dragon Drac Sunglasses
229113,91.73,0.0,Dragon Eden Sunglasses
229118,169.73,0.0,Dragon Ridge X Sunglasses
229120,91.73,0.0,Dragon Sparrow Sunglasses
186711,187.39,4.5,NEMO Roamer Sleeping Pad - XL Wide
201308,93.69,4.4,Osprey Sportlite 25 Pack
184795,115.49,4.8,REI Co-op Tarn 65 Pack - Kids'
228249,26.19,4.2,Stanley AeroLight Transit Water Bottle - 20 fl. oz.
202275,279.29,4.3,REI Co-op Skyward 6 Tent
168501,27.89,4.6,REI Co-op Tarn 12 Pack - Kids'
223721,48.89,0.0,REI Co-op Kindercamp 40 Sleeping Bag - Kids'
202982,419.29,3.5,REI Co-op Wonderland 6 Tent
215314,149.89,4.8,Nikon Prostaff P7 8 x 42 Binoculars
152803,146.29,4.5,Sea to Summit Ether Light XT Insulated Air Rectangular Sleeping Pad
184762,111.29,4.1,REI Co-op Flash Carbon Compact Trekking Poles - Pair
187788,209.89,4.3,Big Agnes Sidewinder SL 20 Sleeping Bag - Men's
168253,83.29,4.3,REI Co-op Tarn 40 Pack - Kids'
197888,79.99,4.9,SILKY Bigboy 2000 Outback Folding Saw
177469,97.29,4.3,REI Co-op Frostbreak 5 Sleeping Bag
203907,44.89,4.0,Petzl Tikka Core Headlamp
186176,34.89,4.6,REI Co-op Pack-Away Adjustable Cube
172612,132.29,4.4,Sea to Summit Ether Light XT Insulated Air Mummy Sleeping Pad
216364,80.49,4.1,REI Co-op AirRail Plus Sleeping Pad
187917,69.89,4.5,Mountain Summit Gear Horizon Cot
203552,7.89,4.8,REI Co-op Nalgene Sustain Graphic Wide-Mouth Water Bottle - 32 fl. oz.
203104,23.89,4.6,Therm-a-Rest Compressible Pillow
189288,174.89,4.1,BioLite FirePit+
164385,69.89,4.2,REI Co-op Flexlite Camp Dreamer Chair
206802,153.29,4.7,Sea to Summit Comfort Deluxe Self-Inflating Sleeping Pad
223722,48.89,0.0,REI Co-op Kindercone 25 Sleeping Bag - Kids'
203236,269.89,4.7,Gregory Baltoro 75 Pack - Men's
201303,194.99,4.3,Osprey Exos 58 Pack - Men's
229121,169.73,0.0,Dragon Tracer X Sunglasses
215729,"1,099.99",4.5,Garmin tactix 7 Pro GPS Watch
229122,99.73,0.0,Dragon Wilder LL Sunglasses
229123,96.73,0.0,Dragon Baile Sunglasses
229126,68.73,0.0,Dragon Juniper Sunglasses
232454,59.73,0.0,Big Agnes Goosenest Cot Double-Wide Accessory Cover
205176,429.89,4.8,Nikon Monarch M7 8 x 42 Binoculars
233759,44.73,0.0,Tifosi Slice Sunglasses
228959,15.73,5.0,Outdoor Research PackOut Graphic Stuff Sack - 10 L
232453,36.73,0.0,Big Agnes Goosenest Cot Single-Wide Accessory Cover
232068,3.73,0.0,GSI Outdoors Infinity Serving Bowl
196359,34.73,2.2,Ledlenser MH5 Headlamp
228960,16.73,4.7,Outdoor Research PackOut Graphic Stuff Sack - 15 L
213169,1.73,5.0,Sunday Afternoons Artist Series Face Mask - Kids'
213476,56.73,0.0,ALPS Mountaineering Adventure Chair
232064,3.73,0.0,GSI Outdoors Infinity Bowl
231806,74.73,0.0,Black Diamond Shot 11 Pack
232069,3.73,5.0,GSI Outdoors Infinity Stacking Cup
232065,3.73,0.0,GSI Outdoors Infinity Divided Plate
168487,90.29,4.7,REI Co-op Trail 40 Pack - Women's
206596,699.99,4.5,Garmin fenix 7X Sapphire Solar Multisport GPS Watch
234098,239.99,0.0,Solo Stove Bonfire Fire Pit with Stand 2.0
168502,34.89,4.8,REI Co-op Tarn 18 Pack - Kids'
168485,90.29,4.5,REI Co-op Trail 40 Pack - Men's
216792,299.99,4.2,Garmin Forerunner 255 Music
149219,52.49,4.0,Stanley Classic Vacuum French Press - 48 fl. oz.
203235,247.39,4.3,Gregory Baltoro 65 Pack - Men's
148052,209.29,4.0,REI Co-op Screen House Shelter
215693,90.89,4.6,Mountain Summit Gear Quilted Low Loveseat
151501,33.69,4.4,Sea to Summit Aeros Ultralight Pillow
204657,127.39,3.3,Petzl NAO RL Headlamp
217409,118.29,4.5,REI Co-op Trailmade 60 Pack - Men's
188425,7.89,4.8,REI Co-op Nalgene Sustain Graphic Narrow-Mouth Water Bottle - 32 fl. oz.
199933,262.39,4.7,NEMO Jazz 30 Double Sleeping Bag
227452,28.49,4.8,Owala FreeSip Vacuum Water Bottle - 40 fl. oz.
198221,134.89,4.0,Ignik FireCan Portable Fire Pit
162912,19.99,4.8,Tiny Tents Tiny Tent
149971,44.89,4.4,Exped Mega Pillow
205280,224.89,4.7,Ignik FireCan Deluxe Fire Pit
161619,104.99,4.8,Stanley Even-Heat Camp Pro Cookset
232435,29.73,0.0,Big Agnes C Bar 2 Footprint
229110,91.73,0.0,Dragon Count Sunglasses
232079,3.73,0.0,GSI Outdoors Pint Glass
185042,22.73,0.0,ALPS Mountaineering Meramac 4 Floor Saver Footprint
232038,4.73,2.5,GSI Outdoors Cup - 24 fl. oz.
205573,105.73,0.0,Mountain Equipment Starlight I Sleeping Bag - Men's Long
213435,21.73,0.0,ALPS Mountaineering Paragon 2 Footprint
232066,3.73,0.0,GSI Outdoors Infinity Mug
232067,3.73,0.0,GSI Outdoors Infinity Plate
205540,58.73,3.5,Trekmates Mountain Pod Emergency Shelter - L
184998,52.73,2.0,ALPS Mountaineering Dash Chair
232452,224.73,0.0,Big Agnes Goosenest Inflatable Cot
231017,6.73,3.0,Esbit Emergency Stove with 3 Fuel Cubes
227894,35.73,1.0,Gregory 3D Hydro Trek Hydration Reservoir - 3 Liters
205575,116.73,0.0,Mountain Equipment Starlight I Sleeping Bag - Women's Long
185031,95.73,2.6,ALPS Mountaineering Fusion 40 Sleeping Bag
229119,63.73,5.0,Dragon Rune Sunglasses
205515,78.73,2.5,Mountain Equipment Classic Comfort 3.8 Sleeping Pad
213002,87.73,1.7,Komperdell Summit Carbon Trekking Poles - Pair
213447,63.73,2.3,ALPS Mountaineering Flexcore Air Pad - XL
229124,137.73,0.0,Dragon Baile XL H2O Polarized Sunglasses
229003,21.73,5.0,Outdoor Research PackOut Graphic Dry Bag - 10 L
231018,20.73,4.3,Esbit Titanium Stove
213480,51.73,3.5,ALPS Mountaineering Eclipse Tic-Tac-Toe Table
229004,22.73,0.0,Outdoor Research PackOut Graphic Dry Bag - 15 L
213446,46.73,3.0,ALPS Mountaineering Flexcore Air Pad - Long
208021,53.73,2.0,Trekmates Bomberlite Sleeping Pad
233760,14.73,0.0,Tifosi Shirley Sunglasses - Women's
232072,16.73,0.0,GSI Outdoors MicroLite 350 Flip Vacuum Water Bottle - 12 fl. oz.
232075,20.73,0.0,GSI Outdoors Microlite 720 Twist Vacuum Water Bottle - 24 fl. oz.
234176,159.73,0.0,Granite Gear Perimeter 35 Pack - Women's
229016,99.73,1.0,Klymit Static V Luxe SL Sleeping Pad
213489,108.73,2.0,Cedar Ridge Ironwood 5 Tent
232062,24.73,4.0,GSI Outdoors Cascadian 4-Person Table Set
232451,374.73,0.0,Big Agnes Goosenest Double-Decker Inflatable Cot
232071,24.73,0.0,GSI Outdoors MicroLite 1000 Twist Vacuum Water Bottle - 32 fl. oz.
229002,19.73,5.0,Outdoor Research PackOut Graphic Dry Bag - 8 L
232070,24.73,0.0,GSI Outdoors MicroLite 1000 Twist Vacuum Water Bottle - 32 fl. oz.
174080,64.73,1.0,Mountainsmith Antero +35 Sleeping Bag
185080,125.73,3.7,ALPS Mountaineering Tri-Awning Elite Shade Shelter
228992,24.73,5.0,Outdoor Research PackOut Graphic Stuff Sack - 35 L
213436,21.73,1.0,ALPS Mountaineering Trail Tent Footprint
232455,17.73,0.0,Big Agnes Trash Can Pack Accessory
184980,24.73,4.0,ALPS Mountaineering Camp Creek 4 Floor Saver Footprint
227877,63.73,1.0,Zempire Kitpack Spike Table
185046,36.73,3.5,ALPS Mountaineering Meramac 6 Floor Saver Footprint
232040,11.73,0.0,GSI Outdoors Cascadian 1-Person Table Set
229116,63.73,1.0,Dragon Melee Polarized Sunglasses
222695,133.73,0.0,Mountain Hardwear Lamina 30 Sleeping Bag - Women's Long
232441,184.73,0.0,Big Agnes Deep Creek Tarp - Medium
232439,36.73,0.0,Big Agnes Dog House 4 Footprint
184982,30.73,5.0,ALPS Mountaineering Camp Creek 6 Floor Saver Footprint
229114,91.73,0.0,Dragon Kodiak Sunglasses
